condition,variant,size,h_plan,lam,t_reeval,n_seeds,scr,fht,dead_loop_rate,new_states_per_step,success_rate,pe_nav,pe_search,pe_acquire,dscr_vs_flat,dfht_vs_flat,dscr_vs_random,dfht_vs_random
layered_lam1_h50_t25,B,10,50,1.0,25,12,0.4792,69.5,0.126,0.5205,0.6667,0.9371,0.9246,0.9931,0.0958,-44.7,0.0608,-35.5
layered_lam1_h50_tnever,B,10,50,1.0,,12,0.4792,69.5,0.126,0.5205,0.6667,0.9371,0.9246,0.9931,0.0958,-44.7,0.0608,-35.5
layered_lam2_h100_t10,B,10,100,2.0,10,12,0.5358,75.11,0.1399,0.5718,0.75,0.9389,0.9726,0.951,0.1525,-39.09,0.1175,-29.89
layered_lam2_h100_t25,B,10,100,2.0,25,12,0.5358,75.11,0.1397,0.5718,0.75,0.9388,0.9726,0.951,0.1525,-39.09,0.1175,-29.89
layered_lam2_h100_tnever,B,10,100,2.0,,12,0.5358,75.11,0.1397,0.5718,0.75,0.9388,0.9726,0.951,0.1525,-39.09,0.1175,-29.89
layered_lam2_h20_t10,B,10,20,2.0,10,12,0.5008,65.11,0.1303,0.5935,0.75,0.9242,0.9794,0.951,0.1175,-49.09,0.0825,-39.89
layered_lam2_h20_t25,B,10,20,2.0,25,12,0.5342,76.89,0.1311,0.5546,0.75,0.9242,0.9794,0.951,0.1508,-37.31,0.1158,-28.11
layered_lam2_h20_tnever,B,10,20,2.0,,12,0.4767,63.88,0.1105,0.5377,0.6667,0.9288,0.9726,0.951,0.0933,-50.33,0.0583,-41.12
layered_lam2_h50_t10,B,10,50,2.0,10,12,0.5358,75.11,0.1399,0.5718,0.75,0.9386,0.9726,0.951,0.1525,-39.09,0.1175,-29.89
layered_lam2_h50_t25,B,10,50,2.0,25,12,0.5358,75.11,0.1397,0.5718,0.75,0.9384,0.9726,0.951,0.1525,-39.09,0.1175,-29.89
layered_lam2_h50_tnever,B,10,50,2.0,,12,0.5358,75.11,0.1397,0.5718,0.75,0.9384,0.9726,0.951,0.1525,-39.09,0.1175,-29.89
layered_laminf_h100_t10,B,10,100,inf,10,12,0.4875,68.12,0.1274,0.5329,0.6667,1.0809,1.0,1.0,0.1042,-46.08,0.0692,-36.88
layered_laminf_h100_t25,B,10,100,inf,25,12,0.4875,68.12,0.1274,0.5329,0.6667,1.0809,1.0,1.0,0.1042,-46.08,0.0692,-36.88
layered_laminf_h100_tnever,B,10,100,inf,,12,0.4875,68.12,0.1274,0.5329,0.6667,1.0809,1.0,1.0,0.1042,-46.08,0.0692,-36.88
layered_laminf_h20_t10,B,10,20,inf,10,12,0.49,69.38,0.1248,0.5257,0.6667,1.0853,1.0,1.0,0.1067,-44.83,0.0717,-35.62
layered_laminf_h20_t25,B,10,20,inf,25,12,0.49,69.38,0.1248,0.5257,0.6667,1.0853,1.0,1.0,0.1067,-44.83,0.0717,-35.62
layered_laminf_h20_tnever,B,10,20,inf,,12,0.49,69.38,0.1248,0.5257,0.6667,1.0853,1.0,1.0,0.1067,-44.83,0.0717,-35.62
layered_laminf_h50_t10,B,10,50,inf,10,12,0.4875,68.12,0.1274,0.5329,0.6667,1.0809,1.0,1.0,0.1042,-46.08,0.0692,-36.88
layered_laminf_h50_t25,B,10,50,inf,25,12,0.4875,68.12,0.1274,0.5329,0.6667,1.0809,1.0,1.0,0.1042,-46.08,0.0692,-36.88
layered_laminf_h50_tnever,B,10,50,inf,,12,0.4875,68.12,0.1274,0.5329,0.6667,1.0809,1.0,1.0,0.1042,-46.08,0.0692,-36.88
random_goal,B,10,50,1.0,,12,0.4183,105.0,0.1713,0.6167,0.5833,0.9124,,,,,0.0,0.0
flat_count,A,15,50,1.0,,12,0.2767,147.0,0.0276,0.1487,0.0833,,,,0.0,0.0,,
layered_lam0.5_h100_t10,A,15,100,0.5,10,12,0.6459,232.33,0.1717,0.647,1.0,0.9878,,,0.3693,85.33,0.2233,-40.27
layered_lam0.5_h100_t25,A,15,100,0.5,25,12,0.6459,232.33,0.1717,0.647,1.0,0.9878,,,0.3693,85.33,0.2233,-40.27
layered_lam0.5_h100_tnever,A,15,100,0.5,,12,0.6459,232.33,0.1717,0.647,1.0,0.9878,,,0.3693,85.33,0.2233,-40.27
layered_lam0.5_h20_t10,A,15,20,0.5,10,12,0.4807,151.67,0.1651,0.7334,1.0,0.9497,,,0.2041,4.67,0.0581,-120.93
layered_lam0.5_h20_t25,A,15,20,0.5,25,12,0.4856,154.0,0.1663,0.7254,1.0,0.9492,,,0.2089,7.0,0.063,-118.6
layered_lam0.5_h20_tnever,A,15,20,0.5,,12,0.4863,154.5,0.166,0.7245,1.0,0.9492,,,0.2096,7.5,0.0637,-118.1
layered_lam0.5_h50_t10,A,15,50,0.5,10,12,0.5004,161.33,0.1738,0.7159,1.0,0.9822,,,0.2237,14.33,0.0778,-111.27
layered_lam0.5_h50_t25,A,15,50,0.5,25,12,0.5004,161.33,0.1738,0.7159,1.0,0.9822,,,0.2237,14.33,0.0778,-111.27
layered_lam0.5_h50_tnever,A,15,50,0.5,,12,0.5004,161.33,0.1738,0.7159,1.0,0.9822,,,0.2237,14.33,0.0778,-111.27
layered_lam0_h100_t10,A,15,100,0.0,10,12,0.6326,224.83,0.1701,0.6594,1.0,0.988,,,0.3559,77.83,0.21,-47.77
